MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000351,Hackney 007,88.5,54.8,16.9,99.2,76.5,85.2
E02000352,Hackney 008,84.1,54,18.8,106.7,76.1,82.8
E02000353,Hackney 009,88.1,55.9,17.3,99,75.6,83.5
E02000354,Hackney 010,82.9,48.5,23.4,110.3,75.2,79.4
E02000355,Hackney 011,84.4,48.9,20.1,88,74.4,78.9
E02000356,Hackney 012,88,55.6,16,107.7,78.6,86
E02000357,Hackney 013,81.4,46.5,30.3,100,81,84
E02000358,Hackney 014,85.3,49,23,97.6,79.2,83.9
E02000359,Hackney 015,85.2,51.6,23.5,110,76.7,80.8
E02000360,Hackney 016,84.4,47.7,25.6,106.8,75.5,82.4
E02000361,Hackney 017,86.5,48.6,22,116.3,75.8,83.7
E02000362,Hackney 018,81.8,46.5,23.2,121.6,72.8,77.5
E02000363,Hackney 019,83.7,47.6,28.4,102.7,76.7,83.4
E02000364,Hackney 020,86.2,52.4,20,95.2,74.5,88.9
E02000365,Hackney 021,86.3,53.7,20.9,139.5,76.2,80.7
E02000366,Hackney 022,83.2,49.7,22.3,109.6,77,85.1
E02000367,Hackney 023,88.3,54.1,20.9,106.3,77.3,85.5
E02000368,Hackney 024,82.2,47.2,26.9,98.3,77.1,81.6
E02000369,Hackney 025,84.6,50.7,26.7,94.8,74.7,81.4
E02000370,Hackney 026,84.8,50.4,23.9,118.6,79,81.3
E02000371,Hackney 027,89.3,55.8,20.4,117.6,74.2,80.8
E02006918,Hackney 028,85,49,25.4,87.5,77.6,84.7
E02006921,Hackney 029,85.1,53.4,25.4,87.5,77.6,84.7
E02000372,Hammersmith and Fulham 001,84.6,48.8,21.9,94.8,75.4,84.2
E02000373,Hammersmith and Fulham 002,83.6,48.2,26.5,85.5,79.8,82.7
E02000374,Hammersmith and Fulham 003,84.7,53.6,16.3,87.2,78.8,87.9
E02000375,Hammersmith and Fulham 004,85,51.6,17.5,106.3,74.4,89
E02000376,Hammersmith and Fulham 005,86.7,52.3,17.2,101.1,77.3,84.1
E02000377,Hammersmith and Fulham 006,86.3,52.7,17.1,99.2,78.1,85.7
E02000378,Hammersmith and Fulham 007,88.3,55.7,15.6,93.1,79.2,88.5
E02000379,Hammersmith and Fulham 008,86.4,56.7,14.1,89,79.1,86.5
E02000380,Hammersmith and Fulham 009,88.6,58.9,14.8,95,79,92.7
E02000381,Hammersmith and Fulham 010,89.2,57.9,14.3,93.4,77.3,88.4
E02000382,Hammersmith and Fulham 011,87.6,57.5,14.9,93.1,74.7,82.5
